FactType,Param1,Param2,AID,L,R,TID,const,label,name,owneeLowerMult,owneeUpperMult,ownerLowerMult,ownerUpperMult,returnType,static,type,typeID,visibility,visiblity
InheritsFrom,_9_0_be00301_1108044721245_236588_411,_12_1_8f90291_1173963323875_662612_98,,,,,,,,,,,,,,,,,
InheritsFrom,_9_0_be00301_1108044721245_236588_411,_9_0_be00301_1108044563999_784946_1,,,,,,,,,,,,,,,,,
InheritsFrom,_9_0_be00301_1108044721245_236588_411,_9_0_2_91a0295_1110467285765_674988_0,,,,,,,,,,,,,,,,,
Interface,egiva_1022741652109_572677_1933,,,,,,,,Comparator,,,,,,,,,,
Interface,egiva_1022741650526_697723_287,,,,,,,,Cloneable,,,,,,,,,,
Interface,egiva_1022741650526_15151_273,,,,,,,,Runnable,,,,,,,,,,
Interface,egiva_1022741650526_515020_257,,,,,,,,CharSequence,,,,,,,,,,
Interface,egiva_1022741650526_353617_241,,,,,,,,Comparable,,,,,,,,,,
Interface,egiva_1022741653290_848766_3305,,,,,,,,InvocationHandler,,,,,,,,,,
Interface,egiva_1022741653290_263634_3308,,,,,,,,Member,,,,,,,,,,
Interface,egiva_1022741652770_188406_2798,,,,,,,,PrivilegedExceptionAction,,,,,,,,,,
Interface,egiva_1022741650707_747315_627,,,,,,,,Serializable,,,,,,,,,,
Interface,_10_0EAPbeta2_8740266_1126078506453_369594_4622,,,,,,,,AttributeVisitor,,,,,,,,,,
Interface,_10_0EAPbeta2_8740266_1126078506406_203707_4464,,,,,,,,UserInfo,,,,,,,,,,
Field,_10_0EAPbeta2_8740266_1126078506500_219303_4684,,,,,,true,SCHEMA,,,,,,,true,AttributeSchema,_10_0EAPbeta2_8740266_1126078506421_856835_4485,,private
Field,_10_0EAPbeta2_8740266_1126078506500_288728_4687,,,,,,,attributeNames,,,,,,,,List,_10_0EAPbeta2_8740266_1126083768609_363665_4009,,private
Field,_10_0EAPbeta2_8740266_1126078506500_472616_4688,,,,,,,attributeTypes,,,,,,,,List,_10_0EAPbeta2_8740266_1126083768609_363665_4009,,private
Field,_10_0EAPbeta2_8740266_1126078506500_799175_4689,,,,,,,name,,,,,,,,String,egiva_1022741650526_984551_278,,private
Field,_10_0EAPbeta2_8740266_1126078506500_524580_4690,,,,,,,attributeMultiplicities,,,,,,,,AttributeSchema,_10_0EAPbeta2_8740266_1126078506421_856835_4485,,private
Field,_10_0EAPbeta2_8740266_1126078506500_983543_4691,,,,,,,ID,,,,,,,,Long,egiva_1022741650526_656159_237,,private
Field,_10_0EAPbeta2_8740266_1126078506453_587658_4618,,,,,,true,SCHEMA,,,,,,,true,AttributeSchema,_10_0EAPbeta2_8740266_1126078506421_856835_4485,,public
Field,_10_0EAPbeta2_8740266_1126078506468_304866_4639,,,,,,,title,,,,,,,,String,egiva_1022741650526_984551_278,,private
Field,_10_0EAPbeta2_8740266_1126078506468_330667_4640,,,,,,true,STATUS_AVAILABLE,,,,,,,true,Integer,egiva_1022741650526_636953_381,,public
Field,_10_0EAPbeta2_8740266_1126078506468_779418_4641,,,,,,true,STATUS_RESERVED,,,,,,,true,Integer,egiva_1022741650526_636953_381,,public
Field,_10_0EAPbeta2_8740266_1126078506468_419584_4642,,,,,,,status,,,,,,,,Integer,egiva_1022741650526_636953_381,,private
